Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Status,MethodRaw,ScenarioRaw,Method,Scenario,RunID,Result
23992.65,2.0506,0.459,1.7212,-3.196,-0.46,29.863,0,5,4,B1,E4,4,SUCCESS
23992.94,2.3215,0.3405,0.4333,-3.181,-0.46,29.9519,0,5,4,B1,E4,4,SUCCESS
23993.23,2.5807,0.1441,0.6963,-3.1701,-0.46,29.9773,0,5,4,B1,E4,4,SUCCESS
23993.53,2.8311,0.0288,0.3814,-3.1701,-0.46,29.9773,0,5,4,B1,E4,4,SUCCESS
23993.81,2.9018,0.0058,0.0819,-3.1701,-0.46,29.9773,0,5,4,B1,E4,4,SUCCESS
23994.08,2.9018,0.0012,0.0173,-3.1701,-0.46,29.9773,0,5,4,B1,E4,4,SUCCESS
23994.35,2.8761,0.0857,0.3168,-3.1438,-0.46,29.965,0,5,4,B1,E4,4,SUCCESS
23994.63,2.805,0.2817,0.7145,-3.0697,-0.46,29.9109,0,5,4,B1,E4,4,SUCCESS
23994.92,2.6908,0.5204,0.8367,-2.9452,-0.46,29.7981,0,5,4,B1,E4,4,SUCCESS
23995.2,2.5632,0.7239,0.7306,-2.7929,-0.46,29.637,0,5,4,B1,E4,4,SUCCESS
23995.47,2.4499,0.8989,0.6831,-2.632,-0.46,29.4402,0,5,4,B1,E4,4,SUCCESS
23995.76,2.362,1.015,0.4514,-2.4563,-0.46,29.1971,0,5,4,B1,E4,4,SUCCESS
23996.05,2.3222,1.0147,0.1479,-2.2906,-0.46,28.947,0,5,4,B1,E4,4,SUCCESS
23996.34,2.3307,0.9962,0.156,-2.1453,-0.46,28.7078,0,5,4,B1,E4,4,SUCCESS
23996.63,2.388,1.0094,0.1411,-1.9997,-0.46,28.4455,0,5,4,B1,E4,4,SUCCESS
23996.96,2.5002,0.9939,0.1361,-1.8562,-0.46,28.1595,0,5,4,B1,E4,4,SUCCESS
23997.25,2.6364,0.9641,0.1694,-1.7409,-0.46,27.9043,0,5,4,B1,E4,4,SUCCESS
23997.52,2.8024,1.0263,0.2733,-1.6353,-0.46,27.645,0,5,4,B1,E4,4,SUCCESS
23997.79,2.9931,1.0124,0.1461,-1.5397,-0.46,27.3819,0,5,4,B1,E4,4,SUCCESS
23998.1,3.2195,0.976,0.1704,-1.4482,-0.46,27.0962,0,5,4,B1,E4,4,SUCCESS
23998.41,3.4642,0.985,0.1342,-1.3685,-0.46,26.807,0,5,4,B1,E4,4,SUCCESS
23998.68,3.7054,1.0239,0.2059,-1.3046,-0.46,26.5344,0,5,4,B1,E4,4,SUCCESS
23998.94,3.9383,0.9879,0.1934,-1.2546,-0.46,26.2792,0,5,4,B1,E4,4,SUCCESS
23999.26,4.1825,1.0189,0.1607,-1.2054,-0.46,25.9631,0,5,4,B1,E4,4,SUCCESS
23999.58,4.1783,1.0046,0.1402,-1.1699,-0.46,25.6451,0,5,4,B1,E4,4,SUCCESS
23999.89,4.0734,0.9624,0.1712,-1.1464,-0.46,25.346,0,5,4,B1,E4,4,SUCCESS
24000.19,3.7971,1.0062,0.1515,-1.1235,-0.46,25.0469,0,5,4,B1,E4,4,SUCCESS
24000.46,3.5428,1.0215,0.0565,-1.1021,-0.46,24.7677,0,5,4,B1,E4,4,SUCCESS
24000.73,3.3103,0.9691,0.1928,-1.0823,-0.46,24.5085,0,5,4,B1,E4,4,SUCCESS
24000.99,3.0648,1.043,0.2802,-1.0609,-0.46,24.2293,0,5,4,B1,E4,4,SUCCESS
24001.32,2.7923,0.9904,0.1606,-1.0365,-0.46,23.9102,0,5,4,B1,E4,4,SUCCESS
24001.65,2.5151,1.0141,0.071,-1.0105,-0.46,23.5712,0,5,4,B1,E4,4,SUCCESS
24001.99,2.2698,0.9708,0.1298,-0.9861,-0.46,23.2522,0,5,4,B1,E4,4,SUCCESS
24002.26,2.0719,1.016,0.1656,-0.9648,-0.46,22.973,0,5,4,B1,E4,4,SUCCESS
24002.51,1.9187,0.9833,0.1328,-0.9465,-0.46,22.7337,0,5,4,B1,E4,4,SUCCESS
24002.77,1.7745,0.9961,0.0493,-0.9266,-0.46,22.4745,0,5,4,B1,E4,4,SUCCESS
24003.01,1.6666,0.9894,0.0276,-0.9083,-0.46,22.2352,0,5,4,B1,E4,4,SUCCESS
24003.29,1.5778,1.0027,0.0478,-0.8869,-0.46,21.956,0,5,4,B1,E4,4,SUCCESS
24003.56,1.5358,1.0213,0.0682,-0.8656,-0.46,21.6768,0,5,4,B1,E4,4,SUCCESS
24003.84,1.5441,1.0169,0.0161,-0.8442,-0.46,21.3976,0,5,4,B1,E4,4,SUCCESS
24004.11,1.5964,0.9753,0.1542,-0.8244,-0.46,21.1384,0,5,4,B1,E4,4,SUCCESS
24004.34,1.6794,1.0069,0.1334,-0.8061,-0.46,20.8991,0,5,4,B1,E4,4,SUCCESS
24004.6,1.8013,1.0233,0.0649,-0.7862,-0.46,20.6398,0,5,4,B1,E4,4,SUCCESS
24004.88,1.9628,0.9806,0.1478,-0.7649,-0.46,20.3607,0,5,4,B1,E4,4,SUCCESS
24005.16,2.1488,1.0171,0.1337,-0.7435,-0.46,20.0815,0,5,4,B1,E4,4,SUCCESS
24005.41,2.3234,0.9738,0.1737,-0.7252,-0.46,19.8422,0,5,4,B1,E4,4,SUCCESS
24005.66,2.5246,1.0027,0.112,-0.7053,-0.46,19.583,0,5,4,B1,E4,4,SUCCESS
24005.96,2.7689,1.0019,0.0027,-0.6825,-0.46,19.2838,0,5,4,B1,E4,4,SUCCESS
24006.22,2.9889,1.0134,0.0453,-0.6626,-0.46,19.0246,0,5,4,B1,E4,4,SUCCESS
24006.48,3.2149,0.9942,0.0731,-0.6428,-0.46,18.7654,0,5,4,B1,E4,4,SUCCESS
24006.76,3.4636,1.0144,0.0733,-0.6214,-0.46,18.4862,0,5,4,B1,E4,4,SUCCESS
24007.04,3.6691,1.0043,0.036,-0.6001,-0.46,18.207,0,5,4,B1,E4,4,SUCCESS
24007.33,3.8866,1.013,0.0294,-0.5772,-0.46,17.9079,0,5,4,B1,E4,4,SUCCESS
24007.61,4.0836,0.9582,0.1989,-0.5573,-0.46,17.6487,0,5,4,B1,E4,4,SUCCESS
24007.86,4.2873,1.021,0.2504,-0.5375,-0.46,17.3894,0,5,4,B1,E4,4,SUCCESS
24008.13,4.2885,1.0209,0.0006,-0.5161,-0.46,17.1102,0,5,4,B1,E4,4,SUCCESS
24008.4,4.3049,0.9873,0.1263,-0.4963,-0.46,16.851,0,5,4,B1,E4,4,SUCCESS
24008.66,4.3129,0.9933,0.0228,-0.4764,-0.46,16.5918,0,5,4,B1,E4,4,SUCCESS
24008.92,4.3168,0.9968,0.0135,-0.4566,-0.46,16.3325,0,5,4,B1,E4,4,SUCCESS
24009.19,4.32,0.9771,0.0736,-0.4368,-0.46,16.0733,0,5,4,B1,E4,4,SUCCESS
24009.44,4.3298,1.0093,0.1257,-0.4169,-0.46,15.814,0,5,4,B1,E4,4,SUCCESS
24009.68,4.0986,1.0294,0.0866,-0.3986,-0.46,15.5748,0,5,4,B1,E4,4,SUCCESS
24009.92,4.3421,0.9975,0.1313,-0.3803,-0.46,15.3355,0,5,4,B1,E4,4,SUCCESS
24010.17,4.347,0.9612,0.144,-0.362,-0.46,15.0962,0,5,4,B1,E4,4,SUCCESS
24010.42,4.342,1.0098,0.191,-0.3422,-0.46,14.8369,0,5,4,B1,E4,4,SUCCESS
24010.67,4.1114,0.9978,0.0499,-0.3238,-0.46,14.5976,0,5,4,B1,E4,4,SUCCESS
24010.91,4.0378,1.0416,0.1776,-0.304,-0.46,14.3384,0,5,4,B1,E4,4,SUCCESS
24011.17,3.8018,0.9562,0.3327,-0.2857,-0.46,14.0991,0,5,4,B1,E4,4,SUCCESS
24011.5,3.4684,1.0072,0.153,-0.2598,-0.46,13.7601,0,5,4,B1,E4,4,SUCCESS
24011.82,3.1559,1.0069,0.001,-0.2353,-0.46,13.441,0,5,4,B1,E4,4,SUCCESS
24012.09,2.9033,0.9784,0.1064,-0.2155,-0.46,13.1818,0,5,4,B1,E4,4,SUCCESS
24012.35,2.652,0.9884,0.0382,-0.1957,-0.46,12.9226,0,5,4,B1,E4,4,SUCCESS
24012.61,2.4026,0.9964,0.0305,-0.1758,-0.46,12.6633,0,5,4,B1,E4,4,SUCCESS
24012.88,2.1368,1.0281,0.1173,-0.1545,-0.46,12.3841,0,5,4,B1,E4,4,SUCCESS
24013.15,1.8752,1.0328,0.0173,-0.1331,-0.46,12.105,0,5,4,B1,E4,4,SUCCESS
24013.45,1.6018,1.0059,0.0894,-0.1102,-0.46,11.8058,0,5,4,B1,E4,4,SUCCESS
24013.72,1.3738,0.9707,0.1303,-0.0904,-0.46,11.5466,0,5,4,B1,E4,4,SUCCESS
24014.02,1.1282,1.0016,0.1039,-0.0675,-0.46,11.2475,0,5,4,B1,E4,4,SUCCESS
24014.3,0.9282,0.9919,0.0342,-0.0461,-0.46,10.9683,0,5,4,B1,E4,4,SUCCESS
24014.58,0.7791,1.0127,0.0757,-0.0247,-0.46,10.6891,0,5,4,B1,E4,4,SUCCESS
24014.85,0.7137,1.0169,0.0154,-0.0034,-0.46,10.4099,0,5,4,B1,E4,4,SUCCESS
24015.16,0.7607,0.9957,0.0701,0.0195,-0.46,10.1108,0,5,4,B1,E4,4,SUCCESS
24015.43,0.8856,0.9588,0.1348,0.0393,-0.46,9.8516,0,5,4,B1,E4,4,SUCCESS
24015.7,1.0757,1.0219,0.2338,0.0607,-0.46,9.5724,0,5,4,B1,E4,4,SUCCESS
24015.98,1.2987,0.9914,0.107,0.0821,-0.46,9.2932,0,5,4,B1,E4,4,SUCCESS
24016.25,1.5404,1.0278,0.1346,0.1034,-0.46,9.0141,0,5,4,B1,E4,4,SUCCESS
24016.51,1.7567,0.9597,0.2673,0.1217,-0.46,8.7748,0,5,4,B1,E4,4,SUCCESS
24016.76,1.9971,1.0108,0.2011,0.1416,-0.46,8.5155,0,5,4,B1,E4,4,SUCCESS
24017.03,2.2419,0.9871,0.0894,0.1614,-0.46,8.2563,0,5,4,B1,E4,4,SUCCESS
24017.32,2.5281,1.0295,0.147,0.1843,-0.46,7.9572,0,5,4,B1,E4,4,SUCCESS
24017.61,2.7979,0.9748,0.1877,0.2057,-0.46,7.678,0,5,4,B1,E4,4,SUCCESS
24017.89,2.7186,1.0307,0.1947,0.2286,-0.46,7.3788,0,5,4,B1,E4,4,SUCCESS
24018.16,2.461,0.9752,0.2054,0.2484,-0.46,7.1196,0,5,4,B1,E4,4,SUCCESS
24018.43,2.3102,0.9806,0.0204,0.2682,-0.46,6.8604,0,5,4,B1,E4,4,SUCCESS
24018.69,2.2778,1.046,0.2484,0.2896,-0.46,6.5812,0,5,4,B1,E4,4,SUCCESS
24018.98,2.3728,0.9826,0.2189,0.311,-0.46,6.302,0,5,4,B1,E4,4,SUCCESS
24019.25,2.5814,0.9876,0.0189,0.3308,-0.46,6.0427,0,5,4,B1,E4,4,SUCCESS
24019.55,2.8921,0.9864,0.0041,0.3537,-0.46,5.7436,0,5,4,B1,E4,4,SUCCESS
24019.84,3.2986,1.0382,0.1816,0.3766,-0.46,5.4445,0,5,4,B1,E4,4,SUCCESS
24020.13,3.7274,0.9719,0.2263,0.398,-0.46,5.1653,0,5,4,B1,E4,4,SUCCESS
24020.39,4.0744,1.037,0.2449,0.4193,-0.46,4.8861,0,5,4,B1,E4,4,SUCCESS
24020.69,4.047,1.0118,0.0842,0.4422,-0.46,4.587,0,5,4,B1,E4,4,SUCCESS
24020.97,4.0896,0.962,0.182,0.462,-0.46,4.3277,0,5,4,B1,E4,4,SUCCESS
24021.23,4.0893,1.0283,0.2473,0.4834,-0.46,4.0486,0,5,4,B1,E4,4,SUCCESS
24021.53,4.0636,1.0085,0.0708,0.5035,-0.46,3.7493,0,5,4,B1,E4,4,SUCCESS
24021.83,4.0648,1.0048,0.1083,0.5122,-0.46,3.4494,0,5,4,B1,E4,4,SUCCESS
24022.11,4.1031,0.9575,0.1865,0.5152,-0.46,3.1894,0,5,4,B1,E4,4,SUCCESS
24022.38,4.099,1.0172,0.2207,0.5185,-0.46,2.9094,0,5,4,B1,E4,4,SUCCESS
24022.65,4.1106,0.9691,0.1769,0.5215,-0.46,2.6495,0,5,4,B1,E4,4,SUCCESS
24022.93,4.1033,0.9921,0.0817,0.5247,-0.46,2.3695,0,5,4,B1,E4,4,SUCCESS
24023.2,4.1047,1.0295,0.1387,0.528,-0.46,2.0895,0,5,4,B1,E4,4,SUCCESS
24023.49,4.0953,0.99,0.1382,0.5312,-0.46,1.8095,0,5,4,B1,E4,4,SUCCESS
24023.74,4.121,1.0208,0.122,0.5342,-0.46,1.5495,0,5,4,B1,E4,4,SUCCESS
24024.01,4.0954,1.0176,0.0116,0.5375,-0.46,1.2696,0,5,4,B1,E4,4,SUCCESS
24024.3,4.0957,0.9733,0.1523,0.5407,-0.46,0.9896,0,5,4,B1,E4,4,SUCCESS
24024.58,4.116,1.0085,0.128,0.544,-0.46,0.7096,0,5,4,B1,E4,4,SUCCESS
24024.87,4.1227,0.9836,0.0868,0.5472,-0.46,0.4296,0,5,4,B1,E4,4,SUCCESS
24025.14,3.9939,1.0185,0.1278,0.5504,-0.46,0.1496,0,5,4,B1,E4,4,SUCCESS
24025.44,3.6942,1.0047,0.046,0.5539,-0.46,-0.1504,0,5,4,B1,E4,4,SUCCESS
24025.73,3.4145,0.9806,0.0837,0.5571,-0.46,-0.4303,0,5,4,B1,E4,4,SUCCESS
24025.99,3.1348,1.032,0.1916,0.5604,-0.46,-0.7103,0,5,4,B1,E4,4,SUCCESS
24026.3,2.8352,1.0004,0.1044,0.5639,-0.46,-1.0103,0,5,4,B1,E4,4,SUCCESS
24026.58,2.5557,0.9808,0.0686,0.5671,-0.46,-1.2903,0,5,4,B1,E4,4,SUCCESS
24026.85,2.2963,0.9768,0.0148,0.5701,-0.46,-1.5503,0,5,4,B1,E4,4,SUCCESS
24027.11,2.017,1.0436,0.253,0.5734,-0.46,-1.8302,0,5,4,B1,E4,4,SUCCESS
24027.4,1.7381,0.9864,0.1986,0.5766,-0.46,-2.1102,0,5,4,B1,E4,4,SUCCESS
24027.67,1.4595,1.02,0.1236,0.5798,-0.46,-2.3902,0,5,4,B1,E4,4,SUCCESS
24027.94,1.2014,0.9892,0.1163,0.5828,-0.46,-2.6502,0,5,4,B1,E4,4,SUCCESS
24028.2,0.9719,1.0026,0.0517,0.5859,-0.46,-2.9102,0,5,4,B1,E4,4,SUCCESS
24028.48,0.8475,0.9951,0.0267,0.5891,-0.46,-3.1901,0,5,4,B1,E4,4,SUCCESS
24028.76,0.7879,1.0086,0.0487,0.5923,-0.46,-3.4701,0,5,4,B1,E4,4,SUCCESS
24029.03,0.7737,0.9739,0.1286,0.5953,-0.46,-3.7301,0,5,4,B1,E4,4,SUCCESS
24029.27,0.5621,1.0309,0.229,0.5984,-0.46,-3.9901,0,5,4,B1,E4,4,SUCCESS
24029.54,0.8053,0.9919,0.1474,0.6014,-0.46,-4.2501,0,5,4,B1,E4,4,SUCCESS
24029.82,0.8512,1.0005,0.0307,0.6046,-0.46,-4.53,0,5,4,B1,E4,4,SUCCESS
24030.09,0.9206,0.9613,0.1433,0.6076,-0.46,-4.79,0,5,4,B1,E4,4,SUCCESS
24030.36,0.997,1.0389,0.2931,0.6109,-0.46,-5.07,0,5,4,B1,E4,4,SUCCESS
24030.64,1.1367,1.007,0.1137,0.6141,-0.46,-5.35,0,5,4,B1,E4,4,SUCCESS
24030.92,1.3217,1.0003,0.024,0.6173,-0.46,-5.63,0,5,4,B1,E4,4,SUCCESS
24031.2,1.1071,0.9807,0.0683,0.6206,-0.46,-5.9099,0,5,4,B1,E4,4,SUCCESS
24031.48,1.0734,1.0126,0.1163,0.6238,-0.46,-6.1899,0,5,4,B1,E4,4,SUCCESS
24031.76,1.207,0.9952,0.0613,0.6271,-0.46,-6.4699,0,5,4,B1,E4,4,SUCCESS
24032.04,1.4515,1.0155,0.074,0.6303,-0.46,-6.7499,0,5,4,B1,E4,4,SUCCESS
24032.3,1.8309,0.9938,0.0826,0.6333,-0.46,-7.0099,0,5,4,B1,E4,4,SUCCESS
24032.54,2.0093,0.9907,0.0229,0.6347,-0.46,-7.2499,0,5,4,B1,E4,4,SUCCESS
24032.8,2.6896,0.9952,0.0994,0.6282,-0.46,-7.5098,0,5,4,B1,E4,4,SUCCESS
24033.06,2.5746,0.9939,0.1052,0.6143,-0.46,-7.7694,0,5,4,B1,E4,4,SUCCESS
