Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Status,MethodRaw,ScenarioRaw,Method,Scenario,RunID,Result
18151.49,3.5934,0.4738,1.7492,-3.1268,-0.3167,29.5673,0,4,2,M4,E2,8,SUCCESS
18151.63,3.5014,0.8873,3.3837,-3.1194,-0.3167,29.4256,0,4,2,M4,E2,8,SUCCESS
18151.88,3.8638,0.9773,0.3932,-3.107,-0.3167,29.1808,0,4,2,M4,E2,8,SUCCESS
18152.11,3.7001,0.9955,0.0837,-3.0953,-0.3167,28.9508,0,4,2,M4,E2,8,SUCCESS
18152.32,3.908,0.9991,0.0178,-3.0844,-0.3167,28.7341,0,4,2,M4,E2,8,SUCCESS
18152.55,3.7453,0.9998,0.0034,-3.0729,-0.3167,28.5081,0,4,2,M4,E2,8,SUCCESS
18152.78,3.8896,1,0.0007,-3.0612,-0.3167,28.2777,0,4,2,M4,E2,8,SUCCESS
18153,3.7332,1,0.0001,-3.0503,-0.3167,28.0612,0,4,2,M4,E2,8,SUCCESS
18153.22,3.8925,1,0,-3.0391,-0.3167,27.8406,0,4,2,M4,E2,8,SUCCESS
18153.46,3.7174,1,0,-3.0269,-0.3167,27.5994,0,4,2,M4,E2,8,SUCCESS
18153.7,3.8506,1,0,-3.0147,-0.3167,27.3597,0,4,2,M4,E2,8,SUCCESS
18153.84,3.7481,1,0,-3.0076,-0.3167,27.2193,0,4,2,M4,E2,8,SUCCESS
18154.06,3.9284,1,0,-2.9964,-0.3167,26.9978,0,4,2,M4,E2,8,SUCCESS
18154.28,3.765,1,0,-2.9853,-0.3167,26.7778,0,4,2,M4,E2,8,SUCCESS
18154.49,3.876,1,0,-2.9749,-0.3167,26.5724,0,4,2,M4,E2,8,SUCCESS
18154.62,3.7765,1,0,-2.9681,-0.3167,26.4385,0,4,2,M4,E2,8,SUCCESS
18154.87,3.906,1,0,-2.9558,-0.3167,26.1952,0,4,2,M4,E2,8,SUCCESS
18155.13,3.8085,1,0,-2.9424,-0.3167,25.9307,0,4,2,M4,E2,8,SUCCESS
18155.32,3.6662,1,0,-2.9325,-0.3167,25.7365,0,4,2,M4,E2,8,SUCCESS
18155.57,3.8464,1,0,-2.9199,-0.3167,25.4872,0,4,2,M4,E2,8,SUCCESS
18155.87,3.7663,1,0,-2.9047,-0.3167,25.1872,0,4,2,M4,E2,8,SUCCESS
18155.99,3.6788,1,0,-2.8987,-0.3167,25.0687,0,4,2,M4,E2,8,SUCCESS
18156.24,3.8449,1,0,-2.8862,-0.3167,24.8216,0,4,2,M4,E2,8,SUCCESS
18156.44,3.6972,1,0,-2.8762,-0.3167,24.6248,0,4,2,M4,E2,8,SUCCESS
18156.64,3.865,1,0,-2.8658,-0.3167,24.4188,0,4,2,M4,E2,8,SUCCESS
18156.86,3.7011,1,0,-2.8548,-0.3167,24.2019,0,4,2,M4,E2,8,SUCCESS
18157.08,3.843,1,0,-2.8438,-0.3167,23.9849,0,4,2,M4,E2,8,SUCCESS
18157.29,3.6788,1,0,-2.8328,-0.3167,23.7674,0,4,2,M4,E2,8,SUCCESS
18157.56,3.8072,1,0,-2.8193,-0.3167,23.5019,0,4,2,M4,E2,8,SUCCESS
18157.8,3.6268,1,0,-2.8072,-0.3167,23.262,0,4,2,M4,E2,8,SUCCESS
18158.11,3.7591,1,0,-2.7916,-0.3167,22.9551,0,4,2,M4,E2,8,SUCCESS
18158.24,3.6614,1,0,-2.7851,-0.3167,22.8257,0,4,2,M4,E2,8,SUCCESS
18158.49,3.8397,1,0,-2.7721,-0.3167,22.5692,0,4,2,M4,E2,8,SUCCESS
18158.7,3.6854,1,0,-2.7619,-0.3167,22.3681,0,4,2,M4,E2,8,SUCCESS
18158.92,3.8467,1,0,-2.7504,-0.3167,22.1401,0,4,2,M4,E2,8,SUCCESS
