Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Method,Scenario,RunID
0,38.7378,0.1144,0.5166,-2.7106,-0.46,29.6982,B1,E1,8
0.2257,38.8619,0.3407,1.0066,-2.6314,-0.46,29.6561,B1,E1,8
0.4656,38.9375,0.6151,1.1597,-2.4955,-0.46,29.5641,B1,E1,8
0.7499,38.9548,0.825,0.7732,-2.303,-0.46,29.405,B1,E1,8
1.0187,38.9867,0.9139,0.4524,-2.1258,-0.46,29.226,B1,E1,8
1.3129,38.9765,0.9156,0.296,-1.9557,-0.46,29.0164,B1,E1,8
1.5837,39.0049,0.8736,0.2899,-1.8213,-0.46,28.8249,B1,E1,8
1.8484,38.8016,0.8816,0.2202,-1.6991,-0.46,28.6254,B1,E1,8
2.0325,38.4189,0.8797,0.2642,-1.6219,-0.46,28.483,B1,E1,8
2.2408,38.0725,0.936,0.3475,-1.536,-0.46,28.3046,B1,E1,8
2.5317,37.6496,0.8799,0.261,-1.4405,-0.46,28.0715,B1,E1,8
2.865,37.0958,0.9099,0.1908,-1.3424,-0.46,27.7817,B1,E1,8
3.1983,36.5004,0.9161,0.1264,-1.2565,-0.46,27.488,B1,E1,8
3.5163,35.9198,0.9075,0.1196,-1.1867,-0.46,27.2086,B1,E1,8
3.8005,35.3862,0.8908,0.1305,-1.1345,-0.46,26.9621,B1,E1,8
4.0664,34.8994,0.8821,0.116,-1.0934,-0.46,26.7317,B1,E1,8
4.346,34.4103,0.8972,0.1176,-1.0573,-0.46,26.4823,B1,E1,8
4.6234,33.9078,0.9061,0.1132,-1.0295,-0.46,26.2319,B1,E1,8
4.891,33.4246,0.8806,0.1438,-1.0113,-0.46,25.9986,B1,E1,8
5.1538,32.9321,0.9432,0.251,-0.9967,-0.46,25.747,B1,E1,8
5.4868,32.4078,0.8807,0.188,-0.9801,-0.46,25.4595,B1,E1,8
5.7705,31.8564,0.8866,0.0211,-0.9656,-0.46,25.2079,B1,E1,8
6.041,31.3493,0.9227,0.1333,-0.9511,-0.46,24.9563,B1,E1,8
6.3084,30.8721,0.8847,0.1421,-0.9376,-0.46,24.7227,B1,E1,8
6.5685,30.3977,0.8968,0.0468,-0.9242,-0.46,24.489,B1,E1,8
6.8688,29.8939,0.8986,0.0057,-0.9086,-0.46,24.2195,B1,E1,8
7.1476,29.3719,0.9028,0.0152,-0.8941,-0.46,23.9679,B1,E1,8
7.412,28.8872,0.8886,0.0535,-0.8807,-0.46,23.7343,B1,E1,8
7.6813,28.3975,0.9264,0.1401,-0.8661,-0.46,23.4827,B1,E1,8
7.9815,27.8855,0.9048,0.0718,-0.8506,-0.46,23.2131,B1,E1,8
8.2833,27.5629,0.8969,0.0263,-0.8351,-0.46,22.9435,B1,E1,8
8.5911,27.208,0.881,0.0514,-0.8195,-0.46,22.674,B1,E1,8
8.8682,26.822,0.9039,0.0824,-0.805,-0.46,22.4224,B1,E1,8
9.1274,26.4153,0.9029,0.0035,-0.7915,-0.46,22.1887,B1,E1,8
9.3741,25.9772,0.9395,0.1481,-0.7781,-0.46,21.9551,B1,E1,8
9.6171,25.5475,0.8992,0.1659,-0.7656,-0.46,21.7395,B1,E1,8
9.8664,25.1211,0.873,0.1048,-0.7532,-0.46,21.5238,B1,E1,8
10.1141,24.6686,0.9302,0.2309,-0.7397,-0.46,21.2902,B1,E1,8
10.398,24.1964,0.8963,0.1195,-0.7252,-0.46,21.0386,B1,E1,8
10.662,23.7076,0.8884,0.0301,-0.7118,-0.46,20.805,B1,E1,8
10.9306,23.236,0.8747,0.0507,-0.6983,-0.46,20.5713,B1,E1,8
11.2199,22.7244,0.9215,0.1617,-0.6828,-0.46,20.3018,B1,E1,8
11.5186,22.1941,0.9075,0.0469,-0.6672,-0.46,20.0322,B1,E1,8
11.8479,21.6373,0.8812,0.08,-0.6506,-0.46,19.7447,B1,E1,8
12.1535,21.053,0.9301,0.1602,-0.6341,-0.46,19.4571,B1,E1,8
12.4479,20.526,0.8707,0.2017,-0.6196,-0.46,19.2055,B1,E1,8
12.728,20.0091,0.8941,0.0835,-0.605,-0.46,18.954,B1,E1,8
13.0386,19.4691,0.9205,0.0848,-0.5885,-0.46,18.6664,B1,E1,8
13.3232,18.9376,0.8927,0.0976,-0.574,-0.46,18.4148,B1,E1,8
13.6565,18.3756,0.913,0.0608,-0.5564,-0.46,18.1093,B1,E1,8
13.9898,17.7877,0.8738,0.1174,-0.5398,-0.46,17.8218,B1,E1,8
14.3033,17.1998,0.9098,0.1146,-0.5232,-0.46,17.5342,B1,E1,8
14.6294,16.6298,0.8885,0.0652,-0.5066,-0.46,17.2467,B1,E1,8
14.9232,16.0664,0.9128,0.0828,-0.4911,-0.46,16.9771,B1,E1,8
15.232,15.5321,0.8821,0.0996,-0.4755,-0.46,16.7076,B1,E1,8
15.5084,15.0023,0.9061,0.0868,-0.461,-0.46,16.456,B1,E1,8
15.8068,14.4837,0.9051,0.0032,-0.4455,-0.46,16.1864,B1,E1,8
16.1328,13.9093,0.9318,0.0817,-0.4279,-0.46,15.8809,B1,E1,8
16.4396,13.346,0.8905,0.1344,-0.4123,-0.46,15.6114,B1,E1,8
