Time_s;Distance_m;Velocity_mps;Acceleration_mps2;PosX_m;PosY_m;PosZ_m;Method;Scenario;RunID
0;36.127;10.877;78.732;-10.745;-0.3167;295.222;B1;E4;10
0.2241;37.468;0.7035;17.139;-10.734;-0.3167;29.386;B1;E4;10
0.5404;38.646;0.6267;0.2429;-10.719;-0.3167;291.939;B1;E4;10
0.691;39.548;0.6113;0.1021;-10.712;-0.3167;291.024;B1;E4;10
0.9754;40.329;0.6083;0.0108;-10.699;-0.3167;289.297;B1;E4;10
12.192;41.793;0.6077;0.0025;-10.687;-0.3167;287.815;B1;E4;10
14.847;4.234;0.6075;0.0005;-10.674;-0.3167;286.203;B1;E4;10
17.339;43.838;0.6075;0.0001;-10.663;-0.3167;284.689;B1;E4;10
19.969;4.542;0.9215;11.937;-10.642;-0.3167;282.058;B1;E4;10
22.385;47.813;0.9843;0.26;-10.623;-0.3167;279.643;B1;E4;10
24.639;49.052;0.9969;0.0557;-10.605;-0.3167;277.389;B1;E4;10
26.973;51.368;0.9994;0.0108;-10.587;-0.3167;275.055;B1;E4;10
29.252;52.741;0.9999;0.0022;-10.569;-0.3167;272.776;B1;E4;10
31.519;54.992;1;0.0004;-10.552;-0.3167;270.509;B1;E4;10
3.379;56.374;1;0.0001;-10.534;-0.3167;268.239;B1;E4;10
36.122;58.692;1;0;-10.516;-0.3167;265.906;B1;E4;10
38.626;59.519;1;0;-10.496;-0.3167;263.402;B1;E4;10
41.403;59.528;1;0;-10.474;-0.3167;260.625;B1;E4;10
44.362;56.829;1;0;-10.451;-0.3167;257.666;B1;E4;10
46.846;54.585;1;0;-10.432;-0.3167;255.183;B1;E4;10
49.069;52.595;1;0;-10.414;-0.3167;25.296;B1;E4;10
52.144;49.873;1;0;-1.039;-0.3167;249.885;B1;E4;10
54.881;47.488;1;0;-10.369;-0.3167;247.148;B1;E4;10
5.756;45.191;1;0;-10.348;-0.3167;244.469;B1;E4;10
5.974;43.355;1;0;-10.331;-0.3167;242.289;B1;E4;10
62.137;41.375;1;0;-10.312;-0.3167;239.892;B1;E4;10
64.469;39.492;1;0;-10.294;-0.3167;23.756;B1;E4;10
67.229;37.329;1;0;-10.272;-0.3167;23.48;B1;E4;10
69.777;36.152;0.686;12.326;-1.026;-0.3167;233.252;B1;E4;10
72.039;35.131;0.6232;0.2776;-10.249;-0.3167;231.878;B1;E4;10
74.404;34.091;0.6106;0.0531;-10.238;-0.3167;230.441;B1;E4;10
76.759;33.083;0.6081;0.0106;-10.227;-0.3167;229.011;B1;E4;10
79.183;32.081;0.6076;0.0021;-10.215;-0.3167;227.538;B1;E4;10
81.471;31.168;0.6075;0.0004;-10.204;-0.3167;226.148;B1;E4;10
