Metodo;Escenario;RunID;Timestamp;TiempoTotal_s;LongitudTrayectoria_m;DistMin_m;DistMedia_m;DistMediana_m;DistP05_m;DistIQR_m;VelMedia_mps;VelMediana_mps;VelMax_mps;VelStd_mps;AccMax_mps2;AccRMS_mps2;TiempoSocial_s;TiempoPersonal_s;TiempoIntima_s;TiempoStop_s;NumeroStops;EficienciaTrayectoria;PacketsValid;PacketsInvalid;PacketsOutOfOrder
M0;E1;1;2026-05-02 18:42:04;93,876400;93,514398;0,469800;9,828845;12;0,976590;3,351900;0,999889;1;2,828700;0,103283;24,481800;1,239582;12,379400;5,944100;0;0,177000;1;0,996144;456;0;0
M0;E1;2;2026-05-02 18:44:45;94,321800;93,841702;0,453500;9,817498;12;1,020200;3,391700;0,997203;1;1,870600;0,070720;12,360000;0,668760;12,528400;5,999000;0;0;0;0,994910;386;0;0
M0;E1;3;2026-05-02 18:47:34;93,737400;93,446294;0,552800;10,025686;12;1,661740;2,773075;0,998089;1;1,561900;0,054350;5,937100;0,417735;10,155100;3,151700;0;0;0;0,996894;329;0;0
M0;E1;4;2026-05-02 18:50:31;94,281200;93,979802;0,588100;10,200167;12;1,886400;1,919075;0,998187;1;1,731300;0,056806;9,765600;0,592365;9,737800;2,267700;0;0;0;0,996803;375;0;0
M0;E1;5;2026-05-02 18:52:56;93,801500;93,456895;0,466500;10,093968;12;1,533585;1,901425;0,996509;1;1,435200;0,059464;4,960200;0,368643;11,111300;4,779100;0;0,207400;1;0,996326;383;0;0
M0;E1;6;2026-05-02 18:55:43;93,965700;93,688798;0,541100;9,934626;12;1,496775;3,126975;1,000198;1;2,223400;0,084411;18,919500;1,074463;10,168300;3,796600;0;0;0;0,997053;337;0;0
M0;E1;7;2026-05-02 18:59:48;94,313700;93,878500;1,076700;10,155294;12;2,058100;2,396500;0,996300;1;1,360900;0,055283;4,950900;0,330644;9,141000;1,625900;0;0;0;0,995386;386;0;0
M0;E1;8;2026-05-02 19:02:18;94,118800;93,755398;0,478700;9,999804;12;1,474915;2,826100;0,998934;1;1,958200;0,069397;10,771000;0,649968;10,335500;4,072700;0;0;0;0,996139;333;0;0
M0;E1;9;2026-05-02 19:05:28;94,184000;93,752601;0,516300;9,949407;12;1,486455;3,024350;0,995003;1;1;0,053669;3,883900;0,269460;10,962000;4,043600;0;0,197900;1;0,995420;399;0;0
M0;E1;10;2026-05-02 19:07:56;94,393900;94,087905;0,459900;9,846503;12;1,109140;3,398300;0,999715;1;2,025000;0,072487;17,503400;1,025078;11,594200;4,968000;0;0;0;0,996758;332;0;0
M0;E2;1;2026-05-02 21:32:53;93,834600;93,439402;0,644300;3,405486;2,609000;0,806535;2,412925;0,997636;1;2,065800;0,063289;12,819200;0,599710;69,338200;18,584200;0;0;0;0,995788;677;0;0
M0;E2;2;2026-05-02 21:35:24;93,696400;93,319539;0,641000;3,377045;1,420200;0,804800;4,185550;0,997238;1;1,885600;0,059170;10,706900;0,538279;60,765400;39,607200;0;0;0;0,995978;669;0;0
M0;E2;3;2026-05-02 21:37:48;93,728600;93,373502;0,707700;4,890528;2,241950;0,783520;7,966400;0,998406;1;2,383700;0,072764;15,539100;0,728955;49,947700;36,039100;0;0;0;0,996211;654;0;0
M0;E2;4;2026-05-02 21:40:14;93,963400;93,586697;0,528400;2,392377;1,704700;0,589135;2,041425;0,996852;1;1,459900;0,052103;4,990000;0,356529;73,813200;26,331400;0;0;0;0,995991;327;0;0
M0;E2;5;2026-05-02 21:42:32;93,852100;93,507206;0,533400;2,074875;1,288400;0,687250;1,155900;0,997670;1;1,769400;0,060274;11,345900;0,579288;81,813400;33,676600;0;0;0;0,996325;492;0;0
M0;E2;6;2026-05-02 21:45:11;93,739400;93,374194;0,452000;4,210779;1,597450;0,587250;6,213050;0,997003;1;1,490000;0,053906;5,158200;0,369619;54,742100;23,041200;0;0;0;0,996104;340;0;0
